위치,구분,질문,답변,비고
매물상세페이지,,가격합의 후에 실제 계약체결은 어떻게 하게 되나요?,"기존의 방식대로 중개사를 통하여 안전하게 계약 협의를 진행하게 되며, 계약서 날인 또한 기존의 부동산 거래와 동일하게 진행됩니다.",
마이페이지,첫거래참여,💡네고와 입찰의 차이를 알고 싶어요!,"1. 네고
정해진 시간이 없이 거래 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
- 가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.

2. 입찰
특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
- 다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
- 네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,첫거래참여,💡거래참여 방법을 알고 싶어요.,"매물 상세 페이지 하단의 [가격 제안] 또는 [입찰 참여] 버튼을 클릭하고 참여가를 입력하면 거래에 참여됩니다.

만약, 네고 거래에서 집주인의 희망가를 수락하신 경우, 바로 계약협의가 진행됩니다.

매물방문을 원하시거나, 매물의 상세주소가 궁금하신 분들께서는 중개사에게 채팅을 통해 문의하여주시기를 바랍니다.

* 거래참여 방법
1. 거래참여하기 버튼 클릭
2. 참여 가격 입력
3. 거래참여 완료",
마이페이지,첫거래참여,💡매물방문을 하고 싶어요.,"중개사님에게 채팅을 통해 방문을 신청할 수 있습니다.
방문예약 취소와 수정도 중개사님께 채팅으로 요청해주시기를 바랍니다.
매물방문 없이 바로 거래참여도 가능하며, 거래참여 후 매물방문도 거래종료 전이라면 언제든지 가능합니다.
 
* 매물방문 신청 절차
1. 매물 상세페이지 접속
2. 상세페이지 하단 [매물방문] 혹은 [중개사 채팅] 버튼 클릭
3. 중개사와 채팅을 통한 일정 확정

* 방문일정 확인 방법
마이페이지 > 방문일정",
마이페이지,첫거래참여,💡매물의 상세주소를 알고 싶어요.,"네고시오에서 매물의 상세주소는 중개사에게 요청하고, 중개사가 주소 공개를 허용하면 공개됩니다. 중개사에게 채팅으로 주소공개를 요청하여주시기를 바랍니다.  

* 주소공개 요청 방법
1. 매물 상세페이지 접속
2. 상세페이지 상단 [상세주소 요청] 버튼 클릭
3. 중개사 채팅 오픈 후 채팅에서 중개사에게 상세주소 요청
4. 중개사의 주소공개 허용 완료 후 상세주소 공개",
마이페이지,첫거래참여,💡중개사와 대화를 하고 싶어요.,"매물의 상세페이지에서 하단의 방문신청을 눌러주세요. 매물 방문신청을 하시면, 중개사와 채팅방이 만들어집니다.

이미 중개사와의 채팅이 개설된 경우에는, '매물 상세페이지 > 채팅' 혹은 '홈 > 채팅'으로도 중개사와의 채팅방 확인이 가능합니다. ",
마이페이지,첫거래참여,💡가격제안(입찰)할 수 있는 금액에 제한이 있나요?,"네고시오에서는 입찰(제안) 시에, 집주인이 설정한 낙찰기준가 또는 희망가를 기준으로, 참여가격 가이드라인을 제공해드리고 있습니다. 해당 가격 내에서 입찰, 제안 가격을 작성하거나 수정할 수 있습니다. ",삭제
마이페이지,첫거래참여,💡거래참여 후 수정이나 취소할 수도 있나요?,"가격의 수정은 횟수에 제한 없이 변경할 수 있습니다.
단, 거래가 종료되면 신규 참여나 가격 수정은 가능하지 않습니다.

* 참여 가격 수정 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 가격입력 혹은 희망가 즉시 수락 버튼 클릭
4. 가격수정 완료

* 거래 참여 취소 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 참여 가격 수정 페이지 하단 '기존 입찰(제안)을 취소하고 싶으시면 여기를 눌러주세요.' 클릭
4. 거래취소 완료",
마이페이지,첫거래참여,💡입찰이 마감되면 어떻게 되나요?,"입찰의 경우 입찰마감 시점에 낙찰 여부가 확정됩니다. 낙찰의 기준은 집주인이 설정한 낙찰기준가 보다 높은 입찰가가 있는 경우입니다. 입찰마감 후 최고입찰가로 참여한 매수(임차)인이 우선협상자로 선정되어, 계약협의가 진행됩니다. 계약협의는 중개사를 통하여 기존의 방식대로 진행됩니다. 우선협상자와의 계약협의 단계에서 거래가 무산되면, 그 다음 낙찰기준가 이상의 최고입찰가를 제안한 매수(임차)인이 우선협상자로 선정됩니다.

입찰마감 시점에, 낙찰기준가보다 높은 입찰가가 없는 경우, 거래유형이 네고로 전환됩니다.",
마이페이지,첫거래참여,💡입찰 중간에 가격합의가 될 수도 있나요?,"입찰은 특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
따라서, 입찰 기간에는 가격합의가 되지 않으며, 입찰 기간이 종료된 후 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,첫거래참여,💡네고에서는 어떻게 가격합의가 되는 것인가요?,"네고는 정해진 시간 없이 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.",
마이페이지,첫거래참여,💡가격합의 후에 실제 계약체결은 어떻게 하게 되나요?,"기존의 방식대로 중개사를 통하여 안전하게 계약 협의를 진행하게 되며, 계약서 날인 또한 기존의 부동산 거래와 동일하게 진행됩니다.",
마이페이지,첫거래참여,집주인의 '희망 네고범위'가 무엇인가요?,"'희망 네고범위'는 집주인이 네고가 가능한 것으로 의사 표시한 금액의 범위입니다. 따라서, 해당 범위 내 금액으로 제안하게 되면, 집주인과 거래가 성사될 가능성이 상대적으로 높습니다.

하지만, '희망 네고범위'는 집주인이 기입한 참고정보에 불과하므로, 네고 과정에서 그 범위가 변경될 수 있으며, 해당 범위 내의 제안가가 있다고 해서 집주인이 반드시 제안가를 수락한다는 의미는 아닙니다. 또한 '희망 네고범위'의 공개여부는 집주인 의사에 따르는 것으로, '희망 네고범위'를 공개하지 않는 경우도 있습니다.

'희망 네고범위'는 집주인과 가격제안자들 간의 네고를 원활하게 하기 위한 취지에서, 집주인의 내심 의사를 공개적으로 표시한 금액 정보이므로, 활용 및 참고하면 더 원활하게 네고를 성공으로 이끌 수 있습니다.",
마이페이지,첫거래참여,입찰기간이 바뀔수도 있나요?,"입찰기간은 최초 5일로 기본 설정되며, 집주인의 요청으로 최대 14일 이내에서 변경(단축 또는 연장)할 수 있습니다. 
다만, 입찰마감 24시간 전부터는 변경이 불가하며, 입찰기간을 변경하더라도, 변경 시부터 최소 잔여 입찰기간도 최소 24시간 이상이어야 합니다. 

참고로 모든 입찰은 마감일 정오(12시)에 마감됩니다.",
마이페이지,첫거래참여,다른사람이 더 높은 가격을 제안했어요. 집주인이 나의 제안을 수락가능한가요?,"아니요, 불가능합니다.
네고에서 집주인은 가장 높은 제안가만 수락할 수 있습니다. 
따라서, 네고로 거래의 우선협상자가 되기를 원하실 경우, 집주인의 희망가를 바로 수락하시거나, 가장 높은 가격을 제안하시기를 바랍니다.",
마이페이지,첫거래참여,희망가 수락하기와 가격제안하기는 어떻게 다른가요?,"'희망가 수락'은 집주인이 설정한 거래 희망가를 바로 수락하는 방식입니다. 희망가 수락 시, 바로 우선협상자로 선정되며, 계약협의가 진행됩니다.
'가격제안하기'는 희망가를 기준으로 설정된 '참여가능 제안가' 기준 내에서 매수(임차)인이 가격을 제안하는 방식입니다. 집주인은 매수(임차)인이 제안한 제안가를 수락할 수 있으며, 집주인이 제안가를 수락하기 전까지, 매수(임차)인은 가격을 제안하거나, 수정할 수 있습니다.",
마이페이지,첫거래참여,"우선협상자로 선정되었는데, 거래를 중단하고 싶어요.","중개사를 통해 거래무산을 신청하시면 됩니다. 단, 거래무산 사유에 따라 서비스 이용 제한을 받을 수 있습니다.",
마이페이지,첫거래참여,"희망가와 낙찰기준가, 제안가와 입찰가는 어떻게 구별되는 것인가요?","희망가는 네고에서 집주인이 거래를 희망하는 금액을 의미합니다. 낙찰기준가는 입찰에서 낙찰의 기준이 되는 가격을 의미하는데, 그 금액은 희망가와 같습니다. 

제안가는 네고 거래참여자(매수인, 임차인)가 집주인에게 제안하는 가격입니다. 입찰가는 입찰 거래참여자(매수인, 임차인)가 입찰에 참여하는 금액으로 네고에서의 제안가와 같습니다. ",
마이페이지,거래에 참여하고 싶어요.,네고와 입찰의 차이를 알고 싶어요!,"1. 네고
정해진 시간이 없이 거래 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
- 가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.

2. 입찰
특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
- 다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
- 네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,매물을 내놓고 싶어요.,네고와 입찰의 차이를 알고 싶어요!,"1. 네고
정해진 시간이 없이 거래 상대방 간의 협상(네고)에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 집주인의 희망가를 수락하는 매수(임차)인이 나타나거나, 매수(임차)인의 제안가를 집주인이 수락하게 되는 경우 거래가 체결됩니다.
- 가격합의(거래 가격 결정)가 되기 전에는 누구든지 제안가를 제시할 수 있으며, 집주인 또한 희망가를 수정할 수 있습니다.

2. 입찰
특정한 기간 내의 매수(임차)인의 경쟁입찰에 의하여 거래 가격을 결정하는 거래 유형입니다.
- 가장 높은 가격을 제시한 매수(임차)인과 거래가 체결됩니다.
- 다만, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
- 네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,거래에 참여하고 싶어요.,거래참여 방법을 알고 싶어요.,"매물 상세 페이지 하단의 [가격 제안] 또는 [입찰 참여] 버튼을 클릭하고 참여가를 입력하면 거래에 참여됩니다.

만약, 네고 거래에서 집주인의 희망가를 수락하신 경우, 바로 계약협의가 진행됩니다.

매물방문을 원하시거나, 매물의 상세주소가 궁금하신 분들께서는 중개사에게 채팅을 통해 문의하여주시기를 바랍니다.

* 거래참여 방법
1. 거래참여하기 버튼 클릭
2. 참여 가격 입력
3. 거래참여 완료",
마이페이지,거래에 참여하고 싶어요.,가격합의 후에 실제 계약체결은 어떻게 하게 되나요?,"기존의 방식대로 중개사를 통하여 안전하게 계약 협의를 진행하게 되며, 계약서 날인 또한 기존의 부동산 거래와 동일하게 진행됩니다.",
마이페이지,거래에 참여하고 싶어요.,거래참여 후 수정이나 취소할 수도 있나요?,"가격의 수정은 횟수에 제한 없이 변경할 수 있습니다.
단, 거래가 종료되면 신규 참여나 가격 수정은 가능하지 않습니다.

* 참여 가격 수정 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 가격입력 혹은 희망가 즉시 수락 버튼 클릭
4. 가격수정 완료

* 거래 참여 취소 방법
1. 매물 상세 페이지 접속
2. 상세 페이지 하단 [입찰가 수정] 혹은 [제안가 수정] 버튼 클릭
3. 참여 가격 수정 페이지 하단 '기존 입찰(제안)을 취소하고 싶으시면 여기를 눌러주세요.' 클릭
4. 거래취소 완료",
마이페이지,거래에 참여하고 싶어요.,입찰할 때는 낙찰기준가보다 높은 금액만 기입해야 하나요?,"아닙니다. 낙찰기준가 보다 낮은 금액으로도 입찰이 가능합니다. 
- 입찰 중에 낙찰기준가도 변경될 수 있습니다. 
- 단, 최고 입찰가가 집주인이 설정한 낙찰기준가 보다 낮은 경우에는 거래가 체결되지 않으며, 이 경우 입찰 기간 종료 시 거래 유형이 네고거래로 전환되게 됩니다.
- 네고로 전환 시, 기존의 입찰내역은 제안내역으로 자동으로 전환됩니다.",
마이페이지,회원정보,회원가입을 어떻게 하는지 모르겠어요.,"우측 상단의 '로그인하기'를 누르시거나, 하단 메뉴바의 '마이페이지 - 로그인하기'를 누르시면, 회원가입 및 로그인 페이지가 생성됩니다. 현재 네고시오의 회원가입 방법은 카카오톡 계정 및 애플 계정을 사용한 간편 로그인만 제공하고 있습니다. 두 방법 중 한 개를 선택하여 회원가입 해주시기 바랍니다.",
마이페이지,회원정보,간편 로그인 계정을 바꾸려면 어떻게 해야 하나요?,"기존의 간편 로그인 방법으로 로그인하신 후, 마이페이지 > 회원정보(닉네임) > 간편 로그인에서 '변경' 버튼을 눌러 가능합니다. ",
마이페이지,회원정보,실수로 간편 로그인 계정을 2개를 만들었어요.,"사용하지 않는 간편 로그인 계정을 탈퇴하시면 됩니다.
네고시오의 매물등록 및 거래참여는 본인인증 계정만 가능하고, 본인인증은 1개의 간편 로그인에서만 가능합니다. 간편 로그인 방법 변경을 위해 재가입하신 경우에는, 기존의 계정에서 간편로그인 방법을 변경해주시면 됩니다. 회원탈퇴 시, 해당 계정의 모든 활동 및 기록은 모두 소멸됩니다. (단, 해당 계정으로 남긴 매물 문의하기는 자동으로 삭제되지 않습니다.)",
마이페이지,회원정보,간편인증 말고 회원가입을 하는 방법은 없나요?,"네, 회원가입을 위해서는 반드시 간편 로그인 방식을 사용해야 합니다.
간편 로그인을 통한 회원가입 후 본인인증을 하신 경우에는, 간편 로그인 외에 본인인증으로도 로그인이 가능합니다.",
마이페이지,회원정보,로그인 수단이 기억나지 않아요.,"이전 회원가입 시 본인인증을 하신 경우, 본인인증 방법으로 로그인 후 회원가입 계정 확인이 가능합니다.
로그인 후 마이페이지 > 회원정보 > 간편 로그인에서 간편 로그인 계정 확인이 가능합니다.",
마이페이지,회원정보,본인인증을 진행하는 이유는 무엇인가요?,"거래상대방에게 신뢰를 주고, 안전한 부동산 거래를 위해서 하기 위해서입니다.
네고시오는 안전한 거래환경을 조성하기 위해 노력하겠습니다.",
마이페이지,회원정보,본인인증 문자가 오지 않아요.,"네고시오의 본인인증은 나이스페이먼츠가 제공하는 휴대폰 본인인증을 통하여 가능합니다.
본인인증 문자가 발송되지 않은 경우, PASS 앱을 사용하여 진행해주시기를 바랍니다.",
마이페이지,회원정보,"본인인증 한 적이 없는데, 이미 본인인증이 완료된 계정이 있다고 나와요.","본인인증이 완료된 계정이 있다고 나오는 경우, 로그인 화면에서 '본인인증으로 로그인' 하기로 로그인할 수 있습니다.
로그인 후 간편 로그인 방식을 변경하시거나, 실제 본인이 사용하는 계정이 아닐 경우 탈퇴하여 주시기 바랍니다. ",
마이페이지,회원정보,"가입을 했었던 것 같은데, 가입된 정보가 나오지 않아요.","이전 회원가입 시 본인인증을 하신 경우, 본인인증 방법으로 로그인 후 회원가입 계정 확인이 가능합니다.
본인인증 로그인 > 마이페이지 > 회원정보(닉네임) > 간편 로그인에서 간편 로그인 계정 확인이 가능합니다.

기존에 본인인증을 하신 적이 없다면, 네고시오에서는 가입 정보를 확인할 수 없습니다.
카카오톡 또는 애플의 연결된 계정 목록을 확인하여 주시기 바랍니다.",
마이페이지,회원정보,"국내 거주 외국인인데, 거래 참여가 가능한가요?","본인인증이 가능하시다면 거래참여할 수 있습니다.
국내 거주 외국인인 경우, 아이핀 본인인증, 휴대폰 본인인증 모두 사용할 수 있습니다.",
마이페이지,회원정보,"해외 거주 한국인인데, 거래 참여가 가능한가요?","본인인증이 가능하시다면, 거래참여할 수 있습니다.
해외 거주 한국인인 경우, 아이핀 본인인증을 통한 본인인증만 가능합니다.",
마이페이지,회원정보,법인 정보로 회원가입이 가능한가요?,죄송합니다. 법인가입은 현재 허용되지 않습니다.,
마이페이지,회원정보,회원정보를 수정하고 싶어요.,마이페이지 > 회원정보(닉네임)에서 회원정보의 확인 및 수정이 가능합니다.,
마이페이지,회원정보,알림을 받고 싶어요.,"알림 설정에서 세부 설정이 가능합니다.
알림 설정으로 진입하기 위해서는 2가지 방법이 있습니다.
1. 홈 상단 알림 버튼(🔔) > 우측 상단 더보기 버튼 ( ⋮ ) > 알림 설정
2. 마이페이지 > 알림 더보기 버튼 (🔽) > 알림 전체 보기 > 우측 상단 더보기 버튼 ( ⋮ ) > 알림 설정",
마이페이지,회원정보,"휴면회원으로 전환되었는데, 어떻게 해제할 수 있나요?","이전에 본인인증을 했던 경우, 본인인증 로그인을 통해 휴면 해제가 가능합니다.
단, 이전에 본인인증을 하지 않고 개인정보 보관기간을 탈퇴 시까지로 설정하지 않은 경우, 마지막 로그인 후 선택하신 개인정보 보관기간이 지나면 자동으로 회원탈퇴가 됩니다.",삭제
마이페이지,회원정보,탈퇴가 완료되지 않아요.,"탈퇴를 위한 사전 절차(거래 참여 취소, 매물등록 취소, 네고머니 출금) 등이 처리가 되었는지 확인 후 다시 시도해주세요.
사전 절차가 이행되지 않은 경우, 탈퇴가 불가합니다.
방문 예약이 되어 있는 경우, 탈퇴하시면 예약 건이 자동 취소됩니다.",
마이페이지,회원정보,회원활동이 정지되었대요.,"부당한 행위(거래방해, 명예훼손 발언 등)을 하셨을 경우 회원활동이 정지될 수 있습니다. 자세한 내용은 고객센터로 문의주세요. ",
마이페이지,서비스,"부동산 가격협상에 있어서, 네고시오에서는 어디까지 관여하고 책임지나요?","네고시오는 부동산 거래에 있어 거래 당사자들이 투명하고 편리하게 거래를 개시하고, 가격을 협상하는 공간을 제공합니다.
거래의 중개는 중개사를 통하여 이루어지게 됩니다. ",
마이페이지,서비스,네고시오가 너무 좋아요. 어떡하죠?,"저희도 고객님이 너무 좋습니다. 네고시오를 많이 이용하시고, 주변에 많이 홍보해주시면 됩니다.
만약에 앱을 이용하시는 경우, 고객님의 좋았던 경험을 앱 스토어의 앱 리뷰에 남겨주시면, 네고시오 성장의 자양분으로 삼도록 하겠습니다. 감사합니다.",삭제
마이페이지,서비스,네고시오에 등록된 중개사는 어떤 기준으로 등록된 건가요?,"공인중개사분들의 등록이나 가입에 제한은 없습니다. 다만, 중개사분들의 평가와 실적에 따라 고객님들과 연결될 확률은 달라집니다. ",
마이페이지,서비스,"집주인과 매수(임차)인 간의 부동산 가격협상인데, 중개사가 끼는 이유는 무엇인가요?","법령에 따라, 모든 부동산 거래는 개업 공인중개사의 중개에 의해 이루어져야 합니다.
따라서 네고시오에서 진행되는 모든 거래도 중개사와 함께 진행됩니다.",
마이페이지,서비스,중개인 없이 매도인/매수인과 직접 연락하고 싶어요.,"네고시오에서는 거래의 신뢰성, 안전성을 위하여 매도인/매수인 간의 직접 거래는 허용하지 않습니다.
네고시오는 안전한 거래환경을 조성하기 위해 노력하겠습니다.",
마이페이지,매물을 내놓고 싶어요.,아직 부동산에 내놓은 적 없는 매물도 등록할 수 있나요?,"네, 집주인으로서 네고시오에 매물을 직접 등록하실 경우, 네고시오에서 부동산에 가까우며 신뢰할 수 있는 중개사를 선택할 수 있도록 도와드립니다.

* 매물등록 배너 위치
1. 홈 > 매물등록 배너 클릭
2. 나의 거래 > 매물등록 버튼 클릭

* 매물등록 절차
1. 매물 주소 검색
2. 거래정보 입력
3. 매물정보 입력
4. 중개사 선택
5. 소유자 동의 요청(등록 당사자가 소유자가 아닌 경우)",
마이페이지,매물을 내놓고 싶어요.,다른 사람 매물을 대신 등록해줄 수도 있나요?,"네, 본인 소유가 아닌 부동산에 대한 거래도 등록할 수 있습니다.
다만, 소유자(공유물인 경우 최소 1인)의 동의가 필요합니다.

* 매물등록 배너 위치
1. 홈 > 매물등록 배너 클릭
2. 나의 거래 > 매물등록 버튼 클릭

* 매물등록 절차
1. 매물 주소 검색
2. 거래정보 입력
3. 매물정보 입력
4. 중개사 선택
5. 소유자 동의 요청(등록 당사자가 소유자가 아닌 경우)",
마이페이지,매물을 내놓고 싶어요.,매물등록은 어디에서 가능한가요?,"매물등록을 시작할 수 있는 배너를 클릭하여, 매물등록 절차를 진행해주시면 됩니다.
자세한 사항은 아래의 내용을 확인하여 주시기 바랍니다.

* 매물등록 배너 위치
1. 홈 > 매물등록 배너 클릭
2. 나의 거래 > 매물등록 버튼 클릭

* 매물등록 절차
1. 매물 주소 검색
2. 거래정보 입력
3. 매물정보 입력
4. 중개사 선택
5. 소유자 동의 요청(등록 당사자가 소유자가 아닌 경우)",
마이페이지,매물을 내놓고 싶어요.,주소 검색에서 등기부를 조회할 수 없다고 나와요.,"네고시오에서는 신뢰 있는 부동산 거래 환경 조성을 위해, 매물등록 시 등기부를 조회하고 있습니다.
등기부조회를 위해 등기부상의 매물 주소를 입력하여 주시기 바랍니다.",삭제
