위치,구분,질문,내용
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,몇 명의 중개사님으로부터 추천받을 수 있나요?,추천받고 싶은 지역을 기준으로 10~30명 정도의 중개사님에게 요청이 전달돼요.
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,추천받은 매물로 무엇을 할 수 있나요?,추천받은 매물 중 마음에 드는 매물이 있다면 '네고 협의' 버튼을 통해 중개사님과 상세한 거래 조건을 조율할 수 있어요.
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,추천을 그만 받고 싶어요.,"마이페이지의 '나의 추천 요청'에서 '추천 그만 받기'를 설정할 수 있어요. 추천 그만 받기를 설정하더라도 추천받은 매물은 계속 확인할 수 있고, 언제든 다시 설정을 해제해서 추천받을 수 있어요."
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,추천받은 매물이 사라졌어요.,매물이 다른 회원님과 거래가 성사되었거나 등록이 취소되면 추천받은 매물이 사라져요. 추천받은 매물이 사라지기 전에 네고 협의를 시작해서 중개사님과 상세한 거래 조건을 조율해 보세요.
마이페이지,[매수인/임차인] 원하는 매물을 찾고 싶어요.,관심 없다고 표시한 매물을 나중에 다시 볼 수 있나요?,관심없음으로 표시하면 목록에서 사라져요. 다른 조건으로 다시 매물을 추천받아보세요.
마이페이지,서비스,네고시오에서는 항상 중개사를 통해서 거래하게 되나요?,네고시오에서 모든 거래를 중개사를 통해서 이루어집니다. 매물을 등록하실때는 네고시오가 중개사를 추천해드려요.
마이페이지,서비스,매도(임대)와 매수(임차) 거래를 동시에 할 수 있나요?,동시에도 할 수 있어요. 
마이페이지,서비스,소유자 동의는 언제 필요한가요?,"소유자가 아닌 분이 소유자를 대리해서 매물을 등록하는 경우 등록과정에서 소유자 동의가 필요해요. 허위 매물을 방지하기 위한 절차이니, 7일 이내에 꼭 소유자 동의를 해주세요. "
마이페이지,서비스,관심 등록은 왜 하는 건가요?,"관심이 가지는 매물이나 단지를 등록하면, 관심목록에서 바로 보실 수 있어요. 
그리고, 관심 매물과 단지의 실거래 현황도 주기적으로 보내드려요."
마이페이지,서비스,관심 등록한 매물이 사라졌어요.,"매물의 거래가 완료되었거나, 등록이 취소되면 관심 등록이 자동으로 해지돼요. 회원 탈퇴 후 동일한 간편 로그인을 사용한다고 하더라도, 기존의 관심 등록 내역은 모두 해제돼요."
마이페이지,서비스,급매도 찾을 수 있나요?,"급매는 매물목록에서 급매라고 표시되어 있어요.
지도에서도 원하는 지역의 급매만 필터링해서 확인해 볼 수 있어요. 
네고시오의 '급매' 표시는 집주인과 상의한 '중개사님'의 판단에 의한 표시예요."
마이페이지,서비스,"거래참여를 하기 전, 매물에 궁금한 점이 있을 땐 어떻게 해야 하나요?",매물 상세 페이지에서 문의 글을 남겨주시면 중개사님께서 직접 답변해 드려요. 문의한 내용은 삭제만 할 수 있고 수정할 수는 없어요.
마이페이지,서비스,"외국인인데, 거래 참여가 가능한가요?","본인인증이 가능하다면 거래에 참여할 수 있어요.
네고시오의 본인인증 수단은 아이핀 본인인증, 휴대폰 본인인증이 있어요."
마이페이지,서비스,법인 정보로 회원가입이 가능한가요?,아쉽지만 아직 법인 서비스는 제공하지 않아요.
마이페이지,신고,알고 보니 허위 매물이었어요.,"허위 매물 등록행위는 네고시오에서 금지되며, 관련기관에 고발 대상이 돼요. 네고시오로 신고해 주시면, 바로 조치할게요."
마이페이지,신고,중개사님이 다른 매물을 권유해요.,"중개사님에게 '매물등록 후에 추천'해달라고 하세요. 매물의 상세 정보를 보고 판단하실 수 있어요. 
만약 불쾌한 방법으로 지속 권유시에는 네고시오로 신고해주세요. "
마이페이지,신고,"중개사를 만나보니, 자격이 정지된 중개사였어요.",네고시오로 신고해주세요. 바로 조치할게요.
마이페이지,채팅,거래 참여 중인데 채팅방을 나가고 싶어요.,채팅방 나가기를 하시면 됩니다. 다만 채팅방을 나가시면 가격 제안한 모든 내용이 취소돼요. 가격 제안 취소는 되돌릴 수 없으니 신중하게 선택해주세요. 
마이페이지,채팅,중개사 없이 거래상대방과 직접 연락하고 싶어요.,네고시오에서 당사자 간의 직접 채팅 기능은 제공하지 않아요. 중개사님을 통해 소통해 주세요.
마이페이지,채팅,중개사와 채팅을 시작하는 방법이 무엇인가요?,"중개사님과의 채팅방을 개설은 매물과 관련해서 아래의 2가지 방법으로 가능해요.

1. 회원님의 가격 제안 후 중개사님이 확인 후 협의 채팅 개설
2. 중개사님께 추천 받은 매물로 회원님이 네고 협의 시작"
마이페이지,채팅,거래를 완료했는데 필요한 게 생겼어요. 채팅을 다시 볼 수 있나요?,중개사와의 채팅은 거래 완료 1주일 후에 저장돼요. 저장된 채팅은 언제든지 확인할 수 있어요.
마이페이지,회원정보,간편 로그인 계정을 바꾸려면 어떻게 해야 하나요?,"간편 로그인 계정은 아래의 방법으로 변경할 수 있어요.

1. 기존의 간편 로그인 방법으로 로그인
2. 마이페이지에서 회원 정보(닉네임) 선택
3. 간편 로그인에서 '변경' 버튼 선택 및 변경"
마이페이지,회원정보,실수로 간편 로그인 계정을 2개를 만들었어요.,"네고시오의 매물등록 및 거래 참여는 본인인증 계정만 가능하고, 본인인증은 1개의 간편 로그인에서만 가능해요.

간편 로그인 방법 변경을 위해 재가입하신 경우에는 탈퇴 후 본인인증이 된 기존의 계정에서 간편 로그인 방법을 변경해 주세요. 회원 탈퇴 시, 해당 계정의 모든 활동 및 기록은 매물 문의를 제외하고 모두 자동으로 삭제돼요."
마이페이지,회원정보,본인인증을 진행하는 이유는 무엇인가요?,"거래 상대방에게 신뢰를 주고 안전하게 거래하기 위해서예요.
네고시오가 안전한 거래환경을 조성하기 위해 앞장서 나갈게요."
마이페이지,회원정보,탈퇴가 완료되지 않아요.,"탈퇴를 위한 사전 절차(매물등록 취소, 네고머니 출금) 등이 완료되었는지 확인 후 다시 시도해 주세요. 사전 절차가 완료되지 않으면 탈퇴가 되지 않아요."
마이페이지,회원정보,회원 활동이 정지되었대요.,"부당한 행위(거래방해, 명예훼손 발언 등)를 하셨을 경우 회원 활동이 정지될 수 있어요. 자세한 내용은 고객센터로 문의주세요. "
